p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio
3.24150050738726e-35	-1.90797492251224	0.147	0.439	8.51801503331224e-31	telencephalon	greb1l	0.336363636363636
3.89633379746605e-35	-1.11361828367453	0.403	0.677	1.02387859529813e-30	telencephalon	srgap1a	0.595870206489675
4.00075884951593e-35	-1.59230712642529	0.229	0.515	1.0513194104758e-30	telencephalon	foxp1b	0.445736434108527
4.66047619561635e-35	1.12273584355804	0.715	0.542	1.22467993468406e-30	telencephalon	ank2b	1.31860036832412
6.2544133701828e-35	0.965293998127363	0.725	0.507	1.64353474541664e-30	telencephalon	notch1a	1.42913385826772
6.46765234397244e-35	1.28537665786394	0.467	0.234	1.69956968294908e-30	telencephalon	fgfbp3	1.99148936170213
7.09479203017836e-35	1.00436661026673	0.715	0.517	1.86436944969027e-30	telencephalon	notch3	1.38223938223938
1.51209602856642e-34	1.83003044911532	0.473	0.262	3.97348594386683e-30	telencephalon	elavl3	1.80228136882129
2.22608600103873e-34	1.95765945642082	0.285	0.107	5.84970879352959e-30	telencephalon	MAP3K13	2.64814814814815
3.49472672953029e-34	3.80437416806082	0.074	0.009	9.1834428998597e-30	telencephalon	wscd1b	7.5
3.64076201427276e-34	-1.23197509655883	0.417	0.672	9.56719442110596e-30	telencephalon	rasal2	0.62109955423477
1.21639177884415e-33	1.13238716399923	0.62	0.386	3.19643431644666e-29	telencephalon	mdkb	1.6046511627907
1.32105682396221e-33	-2.51266013995496	0.215	0.471	3.47147312200788e-29	telencephalon	efna2a	0.457627118644068
1.54974100451188e-33	1.99749194043078	0.219	0.068	4.07240941165631e-29	telencephalon	gadd45gb.1	3.18840579710145
1.71542908386965e-33	3.50642366860192	0.072	0.008	4.50780454659266e-29	telencephalon	pcmtd2a	8.11111111111111
2.51047194912323e-33	1.72241693702268	0.213	0.066	6.59701818790603e-29	telencephalon	dpp6a	3.19402985074627
2.64444797824593e-33	0.787929328091138	0.833	0.701	6.94908039723464e-29	telencephalon	plxna3	1.18803418803419
3.92774454577878e-33	0.656864667296869	0.919	0.789	1.03213271173975e-28	telencephalon	adgrl2a	1.16455696202532
8.6546439922943e-33	1.43474422659395	0.411	0.198	2.2742673482951e-28	telencephalon	map2	2.07035175879397
